time_seconds,amplitude_raw
0.0014275,2394
0.00142875,2418
0.00143,2425
0.00143125,2518
0.0014325,2726
0.00143375,3038
0.001435,3332
0.00143625,3557
0.0014375,3723
0.00143875,3856
0.00144,4017
0.00144125,4242
0.0014425,4500
0.00144375,4734
0.001445,4878
0.00144625,4948
0.0014475,4980
0.00144875,4986
0.00145,5042
0.00145125,5145
0.0014525,5277
0.00145375,5416
0.001455,5576
0.00145625,5722
0.0014575,5901
0.00145875,6054
0.00146,6131
0.00146125,6127
0.0014625,6054
0.00146375,5940
0.001465,5864
0.00146625,5856
0.0014675,5834
0.00146875,5818
0.00147,5736
0.00147125,5626
0.0014725,5470
0.00147375,5330
0.001475,5233
0.00147625,5178
0.0014775,5104
0.00147875,5005
0.00148,4863
0.00148125,4656
0.0014825,4441
0.00148375,4308
0.001485,4282
0.00148625,4348
0.0014875,4480
0.00148875,4595
0.00149,4628
0.00149125,4533
0.0014925,4316
0.00149375,4025
0.001495,3731
0.00149625,3449
0.0014975,3244
0.00149875,3130
0.0015,3072
0.00150125,2990
0.0015025,2855
0.00150375,2707
0.001505,2474
0.00150625,2223
0.0015075,2027
0.00150875,1872
0.00151,1757
0.00151125,1621
0.0015125,1447
0.00151375,1237
0.001515,1006
0.00151625,816
0.0015175,733
0.00151875,794
0.00152,1005
0.00152125,1319
0.0015225,1646
0.00152375,1817
0.001525,1805
0.00152625,1670
0.0015275,1552
0.00152875,1570
0.00153,1797
0.00153125,2170
0.0015325,2575
0.00153375,2865
0.001535,3001
0.00153625,3033
0.0015375,3052
0.00153875,3115
0.00154,3350
0.00154125,3635
0.0015425,3890
0.00154375,4020
0.001545,4009
0.00154625,3914
0.0015475,3817
0.00154875,3839
0.00155,4089
0.00155125,4549
0.0015525,5128
0.00155375,5713
0.001555,6129
0.00155625,6271
0.0015575,6165
0.00155875,5846
0.00156,5513
0.00156125,5281
0.0015625,5276
0.00156375,5465
0.001565,5739
0.00156625,5940
0.0015675,5963
0.00156875,5801
0.00157,5527
0.00157125,5262
0.0015725,5113
0.00157375,5098
0.001575,5169
0.00157625,5229
0.0015775,5207
0.00157875,5054
0.00158,4792
0.00158125,4468
0.0015825,4188
0.00158375,4035
0.001585,3970
0.00158625,3944
0.0015875,3909
0.00158875,3811
0.00159,3691
0.00159125,3564
0.0015925,3453
0.00159375,3278
0.001595,3047
0.00159625,2755
0.0015975,2474
0.00159875,2237
0.0016,1991
0.00160125,1705
0.0016025,1312
0.00160375,784
0.001605,201
0.00160625,-247
0.0016075,-495
0.00160875,-486
0.00161,-274
0.00161125,-54
